,Symbol,Order No.,Opening Time,Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
291,SANDUSDT,850-Sell,2022-04-29 08:00:00,7,Open Short,--,Funding,6840.0,2.4802,0.0000,-7.478e-05,-1.26861039,0966efa3
292,BTCUSDT,850-Sell,2022-04-29 08:00:00,7,Open Short,--,Funding,0.922,39609.71,0.00,-0.0001,-3.65201526,f1efdf8a
293,BCHUSDT,850-Sell,2022-04-29 08:00:00,10,Open Short,--,Funding,221.27,307.55,0.00,-0.0001,-6.80515885,331253a6
294,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,179.1,6.545,Market,0.0006,0.7033257,504bb2f2
295,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,111.8,6.545,Market,0.0006,0.4390386,5d7f00a2
296,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,123.1,6.545,Market,0.0006,0.4834137,3c66dc48
297,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,0.7,6.545,Market,0.0006,0.0027489,ca2993f0
298,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,0.1,6.545,Market,0.0006,0.0003927,a3f9d39d
299,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,20.0,6.545,Market,0.0006,0.07854,d14c004b
300,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,2300.0,6.54,Market,0.0006,9.0252,7304b3db
301,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,245.3,6.54,Market,0.0006,0.9625572,731bcf73
302,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,8.0,6.54,Market,0.0006,0.031392,b5086281
303,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,166.7,6.535,Market,0.0006,0.6536307,a03d8bd6
304,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,100.4,6.53,Market,0.0006,0.3933672,bb28ce8b
305,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,454.0,6.53,Market,0.0006,1.778772,e34f7859
306,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,308.1,6.53,Market,0.0006,1.2071358,3c3a5f7c
307,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,350.3,6.525,Market,0.0006,1.3714245,d07b6128
308,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,108.2,6.525,Market,0.0006,0.423603,d23b0e39
309,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,148.3,6.52,Market,0.0006,0.5801496,7770bcc0
310,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,4.6,6.52,Market,0.0006,0.0179952,635b1851
311,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,0.3,6.52,Market,0.0006,0.0011736,471053f4
312,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,40.0,6.52,Market,0.0006,0.15648,a30cbabe
313,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,45.0,6.515,Market,0.0006,0.175905,a2052600
314,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,30.4,6.515,Market,0.0006,0.1188336,84fb0495
315,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,50.4,6.515,Market,0.0006,0.1970136,f2a503cc
316,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,94.2,6.51,Market,0.0006,0.3679452,b66b2e81
317,ALICEUSDT,7606efe1,2022-04-29 07:37:46,7,Close Short,Market,Trade,111.0,6.505,Market,0.0006,0.433233,6c9badd4
318,BTCUSDT,850-Sell,2022-04-29 00:00:00,7,Open Short,--,Funding,0.922,39743.44,0.00,-0.0001,-3.66434516,e4025450
319,SANDUSDT,850-Sell,2022-04-29 00:00:00,7,Open Short,--,Funding,6840.0,2.5045,0.0000,-9.474e-05,-1.62297009,7a87468c
320,BCHUSDT,850-Sell,2022-04-29 00:00:00,10,Open Short,--,Funding,221.27,306.49,0.00,-0.0001,-6.78170423,41b3d3e1
321,ALICEUSDT,850-Sell,2022-04-29 00:00:00,7,Open Short,--,Funding,5000.0,6.244,0.000,-0.0001,-3.122,0d5ae905
322,BTCUSDT,850-Sell,2022-04-28 16:00:00,7,Open Short,--,Funding,0.922,39469.21,0.00,0.0001296,4.71622327,c1486526
323,SANDUSDT,850-Sell,2022-04-28 16:00:00,7,Open Short,--,Funding,6840.0,2.4885,0.0000,-0.0001,-1.702134,99d5f35c
324,BCHUSDT,850-Sell,2022-04-28 16:00:00,10,Open Short,--,Funding,221.27,307.16,0.00,-0.0001,-6.79652932,4b60de4b
325,ALICEUSDT,850-Sell,2022-04-28 16:00:00,7,Open Short,--,Funding,5000.0,6.138,0.000,-0.0001,-3.069,46b8b575
326,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,770.1,6.25,6.250,0.0001,0.4813125,08d92dec
327,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,490.1,6.25,6.250,0.0001,0.3063125,5153b8dd
328,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,950.0,6.25,6.250,0.0001,0.59375,bb792041
329,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,950.0,6.25,6.250,0.0001,0.59375,61dc05ed
330,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,475.8,6.25,6.250,0.0001,0.297375,74554aeb
331,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,264.0,6.25,6.250,0.0001,0.165,4b1f52e4
332,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,181.9,6.25,6.250,0.0001,0.1136875,e15425cc
333,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,183.0,6.25,6.250,0.0001,0.114375,40cc57ed
334,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,351.4,6.25,6.250,0.0001,0.219625,cc3f16d5
335,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,198.6,6.25,6.250,0.0001,0.124125,f42d8129
336,ALICEUSDT,47b85097,2022-04-28 08:40:30,7,Open Short,Limit,Trade,185.1,6.25,6.250,0.0001,0.1156875,ffffccb2
